Assembly	out_7
# contigs (>= 0 bp)	1
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	1
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	33562
Total length (>= 1000 bp)	33562
Total length (>= 5000 bp)	33562
Total length (>= 10000 bp)	33562
Total length (>= 25000 bp)	33562
Total length (>= 50000 bp)	0
# contigs	1
Largest contig	33562
Total length	33562
Reference length	10624
GC (%)	47.20
Reference GC (%)	44.14
N50	33562
NG50	33562
N90	33562
NG90	33562
auN	33562.0
auNG	106024.8
L50	1
LG50	1
L90	1
LG90	1
# unaligned contigs	1 + 0 part
Unaligned length	33562
# N's per 100 kbp	0.00
